Key,Nitrification (nM/day),Denit from NO2- (nM/day),Denit from NO3- (nM/day),Hybrid2 (nM/day),Station,Feature,iteration,cost,f,weightNH4,weightNO2,weightNO3
PS3SCM,0.009203696,0.495781417,1.785109917,0.132943783,PS3,SCM,0,71.02152357,0.001820482,0.333333333,0.333333333,0.333333333
PS2Deep ODZ core,0.0,0.004695227,0.153257854,0.000240954,PS2,Deep ODZ core,0,4.60195455,0.0,0.45,0.1,0.45
PS2Deep ODZ core,0.0,0.00505373,0.208078536,0.009387202,PS2,Deep ODZ core,1,3.978576032,0.454188251,0.45,0.1,0.45
PS2Deep ODZ core,6.283341099663889e-05,0.0046338033259029,0.1906146876600807,0.0039555326855711,PS2,Deep ODZ core,0,4.861610830924676,0.2102255038508154,0.45,0.1,0.45
PS2Deep ODZ core,4.562073186247028e-05,0.0050771762632348,0.1637419705687191,6.48950308846155e-06,PS2,Deep ODZ core,1,4.293516716340591,0.0,0.45,0.1,0.45
PS2Deep ODZ core,0.0,0.0047315806163323,0.2085847617121926,0.0127575447373756,PS2,Deep ODZ core,0,4.767445531261507,0.4938311379059331,0.45,0.1,0.45
PS2Deep ODZ core,0.0,0.0047908992300744,0.1894770643555776,0.0042427685472122,PS2,Deep ODZ core,1,4.754098247952412,0.3068620372081408,0.45,0.1,0.45
PS2Deep ODZ core,0.0033566609085964,0.0022796848904422,0.1819848303602234,0.0,PS2,Deep ODZ core,0,4.641089409984236,1.0,0.45,0.1,0.45
PS2Deep ODZ core,0.0,0.0056755657922948,0.2392958319683847,0.0191479861694612,PS2,Deep ODZ core,1,4.160682983928674,0.5160990240773151,0.45,0.1,0.45
PS2Deep ODZ core,0.0,0.0050994585204016,0.1829275725685943,0.0202602008254459,PS2,Deep ODZ core,1,3.960716010855962,0.4969030468296139,0.45,0.1,0.45
PS2Deep ODZ core,0.0022210737659853,0.00516160785853,0.2000857967233992,0.0155229062498619,PS2,Deep ODZ core,0,3.2236682492588384,0.4979466125604134,0.45,0.1,0.45
PS2Deep ODZ core,0.0,0.0051401870881148,0.1955554417439754,0.010207355458713,PS2,Deep ODZ core,1,4.311405821090428,0.4588714233424236,0.45,0.1,0.45
PS2Deep ODZ core,0.0,0.005171377995562,0.2252034825040723,0.0067088042616608,PS2,Deep ODZ core,0,3.893608014137449,0.3964826012524344,0.45,0.1,0.45
PS2Deep ODZ core,0.0,0.0050836174845572,0.1973686379508585,0.001381654900614,PS2,Deep ODZ core,0,4.615112102406235,0.0,0.45,0.1,0.45
PS2Deep ODZ core,0.0,0.005325297931657,0.2480419752118824,0.0008231319026165,PS2,Deep ODZ core,1,4.089368470809436,0.0,0.45,0.1,0.45
PS2Deep ODZ core,0.0,0.0051901854957384,0.2661475603703856,0.004153125895248,PS2,Deep ODZ core,2,4.418518845417748,0.0063468052065087,0.45,0.1,0.45
PS2Deep ODZ core,0.0,0.0048314376497936,0.2579045561042288,0.0003942572441449,PS2,Deep ODZ core,4,4.068235665638428,0.0,0.45,0.1,0.45
PS2Deep ODZ core,0.0,0.0047176658988621,0.183339491407741,0.0181217933712903,PS2,Deep ODZ core,0,4.3066105346213,0.5007443613257044,0.45,0.1,0.45
PS2Deep ODZ core,0.0,0.005033201951682,0.2002142474296243,0.0084440036528866,PS2,Deep ODZ core,3,4.632244866367498,0.4309716623847926,0.45,0.1,0.45
PS2Deep ODZ core,0.0036121792256038,0.0052708792188041,0.1465073776639659,0.0,PS2,Deep ODZ core,5,4.24686666562924,0.1102782554596789,0.45,0.1,0.45
PS2Deep ODZ core,0.0,0.0047498002025322,0.292612983048347,0.0034296793448993,PS2,Deep ODZ core,8,4.0514543161678604,0.002372601226692,0.45,0.1,0.45
PS2Deep ODZ core,0.0036291840718923,0.0046239110673616,0.1883471742664246,0.0028102641052055,PS2,Deep ODZ core,1,4.185145873442481,0.1822884656462393,0.45,0.1,0.45
PS2Deep ODZ core,0.0,0.0050212202540629,0.2787538785345504,0.0205558493547389,PS2,Deep ODZ core,7,4.26497789361764,0.4929912665862842,0.45,0.1,0.45
PS2Deep ODZ core,0.0061095952268684,0.0048704955282931,0.1891104200054677,0.0,PS2,Deep ODZ core,6,4.470957127085681,0.4238440974275653,0.45,0.1,0.45
PS2Deep ODZ core,0.003305742445785,0.0051161810365619,0.1661479829465316,0.011852268762118,PS2,Deep ODZ core,9,3.620005658155255,0.4814753329432276,0.45,0.1,0.45
PS2Deep ODZ core,7.722152053462316e-05,0.0046618201280542,0.1528775316029883,9.724127857815549e-08,PS2,Deep ODZ core,0,4.29412253938003,0.0,0.45,0.1,0.45
PS2Deep ODZ core,0.0031069624364283,0.005265101127737,0.1281588657690406,0.0,PS2,Deep ODZ core,4,3.924578005871208,0.1460792089719613,0.45,0.1,0.45
PS2Deep ODZ core,0.0,0.0044673763040294,0.2635323700124434,0.0008347338831835,PS2,Deep ODZ core,6,4.109830204856506,0.000370264509741,0.45,0.1,0.45
PS2Deep ODZ core,0.0,0.004778124589309,0.1693393797500999,0.0036208917650828,PS2,Deep ODZ core,3,4.611679848701001,0.266348213411152,0.45,0.1,0.45
PS2Deep ODZ core,0.0058145910103989,0.0048426922295534,0.1718585325193913,0.0,PS2,Deep ODZ core,5,4.454017197421771,0.0266096531716408,0.45,0.1,0.45
PS2Deep ODZ core,0.0,0.0048125884815901,0.1929145734411773,0.0191625086825226,PS2,Deep ODZ core,2,3.990113477504656,0.494079666280856,0.45,0.1,0.45
PS2Deep ODZ core,0.0,0.0040449554488724,0.1855394386630712,0.0022422163697607,PS2,Deep ODZ core,7,4.3363203552108445,0.0,0.45,0.1,0.45
PS2Deep ODZ core,0.0,0.0048950513161293,0.2516709120706281,0.0016138458175949,PS2,Deep ODZ core,10,4.337594916930639,0.0,0.45,0.1,0.45
PS2Deep ODZ core,0.0,0.0048562849565822,0.3155908577978406,0.0006584571817468,PS2,Deep ODZ core,13,4.953418800611643,0.0,0.45,0.1,0.45
PS2Deep ODZ core,0.0,0.0048673104672362,0.1780741596741769,0.0023744717682409,PS2,Deep ODZ core,11,4.8147103162516,0.0113004655911129,0.45,0.1,0.45
PS2Deep ODZ core,0.0,0.004976254026499,0.184839300012034,0.0196198072597696,PS2,Deep ODZ core,9,3.879082718125408,0.4950085580058432,0.45,0.1,0.45
PS2Deep ODZ core,0.0,0.0047381098040121,0.1824359161008266,0.0021911378556166,PS2,Deep ODZ core,12,4.220497932565399,0.0058361785822044,0.45,0.1,0.45
PS2Deep ODZ core,0.0,0.0051788934761137,0.1930475979788477,0.0038290943997279,PS2,Deep ODZ core,8,4.80879527627288,0.2566543432973973,0.45,0.1,0.45
PS2Deep ODZ core,0.0,0.0046723808772628,0.2137800683508041,0.0005689382162978,PS2,Deep ODZ core,17,4.992470945421698,0.0,0.45,0.1,0.45
PS2Deep ODZ core,0.0,0.0046139943772234,0.145764585995419,0.002664626671551,PS2,Deep ODZ core,16,4.0446596818854745,0.1746210553550262,0.45,0.1,0.45
PS2Deep ODZ core,0.0001130697924067,0.0056152510957615,0.2491862561421449,0.0,PS2,Deep ODZ core,18,4.440304545987954,0.0,0.45,0.1,0.45
PS2Deep ODZ core,0.0,0.0049769436995108,0.1915468881875299,0.0196691944695838,PS2,Deep ODZ core,15,4.030095127360546,0.4973716050164958,0.45,0.1,0.45
PS2Deep ODZ core,0.0,0.005068424281062,0.1906750693421729,0.0075569052764647,PS2,Deep ODZ core,14,4.489548067873101,0.4126735588123227,0.45,0.1,0.45
PS2Deep ODZ core,0.0,0.004932279768701998,0.19909541497290828,0.022072976362211765,PS2,Deep ODZ core,19,4.064546183665067,0.4968570714976132,0.45,0.1,0.45
